vehicle_id,brand,timestamp,odometer_reading,engine_temp_c,engine_rpm,oil_pressure_psi,coolant_temp_c,fuel_level_percent,fuel_consumption_lph,engine_load_percent,throttle_pos_percent,air_flow_rate_gps,exhaust_gas_temp_c,vibration_level,engine_hours,brake_fluid_level_psi,brake_pad_wear_mm,brake_temp_c,abs_fault_indicator,brake_pedal_pos_percent,wheel_speed_fl_kph,wheel_speed_fr_kph,wheel_speed_rl_kph,wheel_speed_rr_kph,battery_voltage_v,battery_current_a,battery_temp_c,alternator_output_v,battery_charge_percent,battery_health_percent,vehicle_speed_kph,ambient_temp_c,humidity_percent,gps_latitude,gps_longitude,engine_failure_imminent,brake_issue_imminent,battery_issue_imminent,failure_date,failure_type
VEH0008,Nissan,2023-01-01 00:00:00,99452.86812,99.59116682,1919.960868,38.80474624,91.54180436,69.0837214,6.597386698,53.26420765,48.81471631,71.94343842,148.7156343,2.135688732,878.9947847,936.8762336,9.347270647,15.40901619,1,2.331933844,28.30185278,75.26805366,42.88042145,57.15486491,12.80326785,-29.07217679,15.24308517,13.77580835,75.2992118,92.82878135,6.209917093,21.72703562,51.78912028,28.15626793,79.4461005,0,0,0,01-01-2050 00:00,No Failure
VEH0008,Nissan,2023-01-01 00:14:00,99486.53342,99.69370888,1996.950567,50.6361187,88.85621084,14.6504019,9.125318691,35.13700652,32.28413471,60.74578066,221.4171444,1.852106616,879.4246342,988.0546078,9.330235232,115.7425921,0,55.02746675,76.21349925,50.78041668,24.16972282,62.02801733,13.42382574,13.29227479,26.25702464,14.5199069,63.27150238,92.82261109,64.30851159,37.0021769,54.54127489,32.88527352,78.85049682,0,0,0,01-01-2050 00:00,No Failure
VEH0008,Nissan,2023-01-01 00:15:00,99453.79309,97.11688941,1061.236481,48.31133509,87.79849816,59.77488333,6.196002422,61.08001028,21.68203634,61.37038598,375.620732,1.33103823,879.4077134,877.5360677,9.340234386,78.22494797,0,45.62059872,70.34712799,73.21903297,56.93334278,35.76439442,13.48918819,-5.519539919,31.69453416,14.18466735,92.01379703,92.82638459,34.44737388,20.10823335,61.63341254,31.99259549,75.06173003,0,0,0,01-01-2050 00:00,No Failure
VEH0008,Nissan,2023-01-01 01:39:00,99511.78693,99.758974,1319.780374,58.63313958,90.81348344,71.98844446,6.792751508,44.79931881,1.794200446,12.74664581,564.7220714,0.528543304,879.8462089,1135.925688,9.324873211,5.377972585,0,26.55705659,98.19184752,97.09585393,40.89465649,78.73511833,12.6411894,20.325598,29.49642746,14.57080908,99.05486975,92.82029157,85.61992981,29.6272728,60.21174563,30.61317115,79.90297274,0,0,0,01-01-2050 00:00,No Failure
VEH0008,Nissan,2023-01-01 01:48:00,99771.56773,97.15447459,2551.047156,34.88047644,90.87152612,16.75753408,4.943374561,9.504044377,38.70094215,74.86905465,173.2708737,1.890723301,882.6614608,1023.886551,9.274301576,42.08601371,0,9.097315388,102.0391119,86.2821629,67.01640202,65.21896377,11.85829838,-39.25317644,26.6579723,13.8837023,65.31489596,92.79320365,31.1154719,27.10131828,42.58748206,28.9041252,77.49670043,0,0,0,01-01-2050 00:00,No Failure
VEH0008,Nissan,2023-01-01 02:18:00,99996.48066,85.32862259,747.4549158,35.43414251,88.66866228,64.91876383,7.429756764,49.62607855,0.0,44.52891845,312.4657761,1.009159145,885.8489975,905.2334616,9.220764755,30.57092673,0,98.40814923,34.95511732,49.27032331,47.17729975,86.58677748,12.89316569,33.79514602,22.27091759,14.47159821,81.62631828,92.7615474,75.92001223,50.67444467,58.56441796,34.66502664,75.9380619,0,0,0,01-01-2050 00:00,No Failure
VEH0008,Nissan,2023-01-01 02:55:00,100338.8969,98.36958744,1968.07776,40.40969434,85.23388302,5.424224594,0.451729847,59.78821463,19.13958302,55.04355873,194.4872439,0.922975823,888.9284869,1113.791894,9.157906716,144.3722597,0,65.04332263,78.92372061,72.11836126,-9.45625892,79.43655645,12.63487965,13.04278242,28.29213722,13.87069768,70.23882846,92.72638722,50.80200113,39.99927936,65.31380228,31.49056581,77.40372762,0,0,0,01-01-2050 00:00,No Failure
VEH0008,Nissan,2023-01-01 03:12:00,99542.26181,94.42589243,1151.877637,44.48911761,89.14155235,43.40075264,2.533914245,47.8373855,10.10032589,0.0,265.7619876,1.762193257,880.1743612,851.7689977,9.32105192,191.1323032,0,97.31657552,62.12983346,75.45417079,92.90217836,20.29851212,12.69316882,-20.83706481,29.86478691,14.4627054,75.83393714,92.81858055,84.85305615,21.26633008,42.87655215,33.54835179,76.51829106,0,0,0,01-01-2050 00:00,No Failure
VEH0008,Nissan,2023-01-01 03:30:00,99689.21289,93.63253657,2576.182863,41.1377429,92.93629122,99.89447991,1.156554636,30.15490982,13.12764744,62.40975949,303.1190625,1.850895854,881.9970006,846.2879748,9.287213642,27.75303606,0,4.966941567,50.74118227,22.11194047,66.90138066,84.59438601,12.9009497,41.88427243,20.69140218,14.61923644,81.09704634,92.79940423,100.6937008,7.753740431,73.18603423,29.74773758,78.29277603,0,0,0,01-01-2050 00:00,No Failure
VEH0008,Nissan,2023-01-01 03:45:00,100035.5914,94.50393434,1035.569892,53.40094806,90.20182299,97.14073108,1.925601512,67.65361167,1.145893034,33.95152432,370.3600768,0.453413698,886.1618156,974.9387159,9.211068018,45.80162928,0,57.52065961,112.6889494,85.80455975,81.85756102,57.47171581,12.88495403,38.63465572,17.54720574,13.85939344,67.24996376,92.7582973,0.0,29.02954333,79.83338074,28.6789639,76.37419315,0,0,0,01-01-2050 00:00,No Failure
